{'loss': 1.201, 'learning_rate': 4e-05, 'epoch': 0.02}
{'loss': 0.8914, 'learning_rate': 8e-05, 'epoch': 0.03}
{'loss': 1.0485, 'learning_rate': 0.00012, 'epoch': 0.05}
{'loss': 1.3418, 'learning_rate': 0.00016, 'epoch': 0.06}
{'loss': 1.0566, 'learning_rate': 0.0002, 'epoch': 0.08}
{'loss': 0.942, 'learning_rate': 0.00019933333333333334, 'epoch': 0.1}
{'loss': 0.8313, 'learning_rate': 0.00019866666666666668, 'epoch': 0.11}
{'loss': 0.8926, 'learning_rate': 0.00019800000000000002, 'epoch': 0.13}
{'loss': 0.897, 'learning_rate': 0.00019733333333333335, 'epoch': 0.15}
{'loss': 0.5595, 'learning_rate': 0.00019666666666666666, 'epoch': 0.16}
{'loss': 0.6162, 'learning_rate': 0.000196, 'epoch': 0.18}
{'loss': 0.6027, 'learning_rate': 0.00019533333333333336, 'epoch': 0.19}
{'loss': 0.4519, 'learning_rate': 0.0001946666666666667, 'epoch': 0.21}
{'loss': 0.4874, 'learning_rate': 0.000194, 'epoch': 0.23}
{'loss': 0.6156, 'learning_rate': 0.00019333333333333333, 'epoch': 0.24}
{'loss': 0.3803, 'learning_rate': 0.0001926666666666667, 'epoch': 0.26}
{'loss': 0.5564, 'learning_rate': 0.000192, 'epoch': 0.28}
{'loss': 0.6216, 'learning_rate': 0.00019133333333333334, 'epoch': 0.29}
{'loss': 0.3643, 'learning_rate': 0.00019066666666666668, 'epoch': 0.31}
{'loss': 0.4079, 'learning_rate': 0.00019, 'epoch': 0.32}
{'loss': 0.3725, 'learning_rate': 0.00018933333333333335, 'epoch': 0.34}
{'loss': 0.4154, 'learning_rate': 0.00018866666666666668, 'epoch': 0.36}
{'loss': 0.284, 'learning_rate': 0.000188, 'epoch': 0.37}
{'loss': 0.3281, 'learning_rate': 0.00018733333333333335, 'epoch': 0.39}
{'loss': 0.3821, 'learning_rate': 0.0001866666666666667, 'epoch': 0.4}
{'loss': 0.3665, 'learning_rate': 0.00018600000000000002, 'epoch': 0.42}
{'loss': 0.2302, 'learning_rate': 0.00018533333333333333, 'epoch': 0.44}
{'loss': 0.2918, 'learning_rate': 0.00018466666666666666, 'epoch': 0.45}
{'loss': 0.2469, 'learning_rate': 0.00018400000000000003, 'epoch': 0.47}
{'loss': 0.3003, 'learning_rate': 0.00018333333333333334, 'epoch': 0.49}
{'loss': 0.2351, 'learning_rate': 0.00018266666666666667, 'epoch': 0.5}
{'loss': 0.1691, 'learning_rate': 0.000182, 'epoch': 0.52}
{'loss': 0.2113, 'learning_rate': 0.00018133333333333334, 'epoch': 0.53}
{'loss': 0.1821, 'learning_rate': 0.00018066666666666668, 'epoch': 0.55}
{'loss': 0.0974, 'learning_rate': 0.00018, 'epoch': 0.57}
{'loss': 0.366, 'learning_rate': 0.00017933333333333332, 'epoch': 0.58}
{'loss': 0.1701, 'learning_rate': 0.00017866666666666668, 'epoch': 0.6}
{'loss': 0.2239, 'learning_rate': 0.00017800000000000002, 'epoch': 0.62}
{'loss': 0.1909, 'learning_rate': 0.00017733333333333335, 'epoch': 0.63}
{'loss': 0.1753, 'learning_rate': 0.00017666666666666666, 'epoch': 0.65}
{'loss': 0.1308, 'learning_rate': 0.00017600000000000002, 'epoch': 0.66}
{'loss': 0.1942, 'learning_rate': 0.00017533333333333336, 'epoch': 0.68}
{'loss': 0.1623, 'learning_rate': 0.00017466666666666667, 'epoch': 0.7}
{'loss': 0.2766, 'learning_rate': 0.000174, 'epoch': 0.71}
{'loss': 0.1138, 'learning_rate': 0.00017333333333333334, 'epoch': 0.73}
{'loss': 0.0805, 'learning_rate': 0.00017266666666666667, 'epoch': 0.74}
{'loss': 0.2374, 'learning_rate': 0.000172, 'epoch': 0.76}
{'loss': 0.2497, 'learning_rate': 0.00017133333333333334, 'epoch': 0.78}
{'loss': 0.1304, 'learning_rate': 0.00017066666666666668, 'epoch': 0.79}
{'loss': 0.106, 'learning_rate': 0.00017, 'epoch': 0.81}
{'loss': 0.0819, 'learning_rate': 0.00016933333333333335, 'epoch': 0.83}
{'loss': 0.0933, 'learning_rate': 0.00016866666666666668, 'epoch': 0.84}
{'loss': 0.1175, 'learning_rate': 0.000168, 'epoch': 0.86}
{'loss': 0.1718, 'learning_rate': 0.00016733333333333335, 'epoch': 0.87}
{'loss': 0.0704, 'learning_rate': 0.0001666666666666667, 'epoch': 0.89}
{'loss': 0.0703, 'learning_rate': 0.000166, 'epoch': 0.91}
{'loss': 0.0862, 'learning_rate': 0.00016533333333333333, 'epoch': 0.92}
{'loss': 0.0728, 'learning_rate': 0.00016466666666666667, 'epoch': 0.94}
{'loss': 0.1333, 'learning_rate': 0.000164, 'epoch': 0.96}
{'loss': 0.1214, 'learning_rate': 0.00016333333333333334, 'epoch': 0.97}
{'loss': 0.1077, 'learning_rate': 0.00016266666666666667, 'epoch': 0.99}
{'eval_loss': 0.18741998076438904, 'eval_runtime': 22.7704, 'eval_samples_per_second': 1.23, 'eval_steps_per_second': 1.23, 'epoch': 0.99}
{'loss': 0.0813, 'learning_rate': 0.000162, 'epoch': 1.0}
{'loss': 0.0638, 'learning_rate': 0.00016133333333333334, 'epoch': 1.02}
{'loss': 0.0967, 'learning_rate': 0.00016066666666666668, 'epoch': 1.04}
{'loss': 0.0581, 'learning_rate': 0.00016, 'epoch': 1.05}
{'loss': 0.0684, 'learning_rate': 0.00015933333333333332, 'epoch': 1.07}
{'loss': 0.05, 'learning_rate': 0.00015866666666666668, 'epoch': 1.09}
{'loss': 0.0561, 'learning_rate': 0.00015800000000000002, 'epoch': 1.1}
{'loss': 0.0846, 'learning_rate': 0.00015733333333333333, 'epoch': 1.12}
{'loss': 0.0335, 'learning_rate': 0.00015666666666666666, 'epoch': 1.13}
{'loss': 0.0792, 'learning_rate': 0.00015600000000000002, 'epoch': 1.15}
{'loss': 0.0582, 'learning_rate': 0.00015533333333333333, 'epoch': 1.17}
{'loss': 0.0436, 'learning_rate': 0.00015466666666666667, 'epoch': 1.18}
{'loss': 0.0674, 'learning_rate': 0.000154, 'epoch': 1.2}
{'loss': 0.0311, 'learning_rate': 0.00015333333333333334, 'epoch': 1.21}
{'loss': 0.0637, 'learning_rate': 0.00015266666666666667, 'epoch': 1.23}
{'loss': 0.1154, 'learning_rate': 0.000152, 'epoch': 1.25}
{'loss': 0.0299, 'learning_rate': 0.00015133333333333334, 'epoch': 1.26}
{'loss': 0.077, 'learning_rate': 0.00015066666666666668, 'epoch': 1.28}
{'loss': 0.0614, 'learning_rate': 0.00015000000000000001, 'epoch': 1.3}
{'loss': 0.0755, 'learning_rate': 0.00014933333333333335, 'epoch': 1.31}
{'loss': 0.0489, 'learning_rate': 0.00014866666666666666, 'epoch': 1.33}
{'loss': 0.0822, 'learning_rate': 0.000148, 'epoch': 1.34}
{'loss': 0.0759, 'learning_rate': 0.00014733333333333335, 'epoch': 1.36}
{'loss': 0.0808, 'learning_rate': 0.00014666666666666666, 'epoch': 1.38}
{'loss': 0.0425, 'learning_rate': 0.000146, 'epoch': 1.39}
{'loss': 0.0454, 'learning_rate': 0.00014533333333333333, 'epoch': 1.41}
{'loss': 0.0479, 'learning_rate': 0.0001446666666666667, 'epoch': 1.43}
{'loss': 0.2216, 'learning_rate': 0.000144, 'epoch': 1.44}
{'loss': 0.0469, 'learning_rate': 0.00014333333333333334, 'epoch': 1.46}
{'loss': 0.0577, 'learning_rate': 0.00014266666666666667, 'epoch': 1.47}
{'loss': 0.0685, 'learning_rate': 0.000142, 'epoch': 1.49}
{'loss': 0.0492, 'learning_rate': 0.00014133333333333334, 'epoch': 1.51}
{'loss': 0.0351, 'learning_rate': 0.00014066666666666668, 'epoch': 1.52}
{'loss': 0.0263, 'learning_rate': 0.00014, 'epoch': 1.54}
{'loss': 0.052, 'learning_rate': 0.00013933333333333335, 'epoch': 1.55}
{'loss': 0.0458, 'learning_rate': 0.00013866666666666669, 'epoch': 1.57}
{'loss': 0.05, 'learning_rate': 0.000138, 'epoch': 1.59}
{'loss': 0.0641, 'learning_rate': 0.00013733333333333333, 'epoch': 1.6}
{'loss': 0.0545, 'learning_rate': 0.00013666666666666666, 'epoch': 1.62}
{'loss': 0.0529, 'learning_rate': 0.00013600000000000003, 'epoch': 1.64}
